generation, mean_f, mean_cr
0, 0.5000, 0.5000
1, 0.5208, 0.5345
2, 0.5115, 0.5027
3, 0.5051, 0.5132
4, 0.5144, 0.5067
5, 0.5202, 0.5183
6, 0.5254, 0.5262
7, 0.5318, 0.5231
8, 0.5199, 0.5213
9, 0.5270, 0.5278
10, 0.5283, 0.5238
11, 0.5142, 0.5257
12, 0.5017, 0.5250
13, 0.5048, 0.5209
