0, 0, -329.0, [0.1302994748445211, 0.7898457492528281, 0.5766153856851093, 0.8237568166518839, 0.18313965257812836, 0.24088591266829906, 0.7716151678587642, 0.33373830573567165, 0.24659146762759554, 0.8681972326517897, 0.9842684995929347, 0.2125816335772175, 0.9024246733859486, 0.7131460967369794, 0.2901960321281375, 0.045395884470746384, 0.07967094692985066, 0.8327592291304762, 0.5148808820616767, 0.7573261745488864, 0.8281063131277778], BATTLES: 41-31-35-33-31-40-41-35-42-
0, 1, -74.0, [0.6870909169064282, 0.13360830098945686, 0.24744037868778201, 0.9860547867302573, 0.20887229408304286, 0.7181935882076141, 0.4803096283791405, 0.7490853192892768, 0.21521335559033072, 0.21700227451621268, 0.6718291599499677, 0.46717678669654117, 0.2956746621306765, 0.010838865144075505, 0.7317155761752325, 0.1726645133364607, 0.6655972385181556, 0.8517314047667213, 0.412574388406016, 0.6951779724896462, 0.6040252110216098], BATTLES: 11-3-11-14-5-13-8-1-8-
0, 2, -385.0, [0.7616567332565395, 0.8907728439144493, 0.8552814839055475, 0.9683167339726904, 0.9396698143159751, 0.7205890979630378, 0.8070429768544691, 0.2502455431160322, 0.5915766998246418, 0.26486851500604414, 0.8536788509469219, 0.02599090083930522, 0.13572495952571706, 0.4234385640779478, 0.34107905967514507, 0.9738352488860066, 0.4858870284563672, 0.9553498345135899, 0.42211537503252206, 0.7881400537551294, 0.8889232410294501], BATTLES: 42-36-44-43-44-48-43-43-42-
0, 3, -74.0, [0.6122336462187244, 0.13075480735901923, 0.6180116472665358, 0.8607942954457849, 0.29322150344505427, 0.33295306699178073, 0.8375339470806092, 0.5713716970236833, 0.5312547223342939, 0.22681215538590382, 0.11645227548201431, 0.6381054639398072, 0.7177791794334148, 0.38085312579261754, 0.8011046440954036, 0.3894795011720805, 0.19687443502949042, 0.7969925684134921, 0.04278414328403257, 0.13496583563337405, 0.17198739762699244], BATTLES: 7-7-8-14-7-14-11-1-5-
0, 4, -320.0, [0.5698446779754136, 0.6487952996011939, 0.3728740797368574, 0.49289848084933796, 0.8274472975245364, 0.22368128890032768, 0.23683821717660636, 0.9263034941522115, 0.11776755942289074, 0.470762838542613, 0.37211861091305376, 0.4535461550584924, 0.5236497140572092, 0.4940557900222161, 0.020974316338994492, 0.2711152434239741, 0.573973630122378, 0.08071238579338147, 0.7406842289664652, 0.8422581441890923, 0.8359617375964138], BATTLES: 36-40-33-39-35-37-35-33-32-
0, 5, -391.0, [0.2169343057902946, 0.8906396143305165, 0.5823727781353162, 0.7041135627114989, 0.8657271744532812, 0.6348884203859732, 0.552173343913257, 0.18261732415223264, 0.46909094064688117, 0.2547965174678841, 0.2629941409636607, 0.05662852587315137, 0.04241382748355227, 0.16678681901687264, 0.7054310215828571, 0.2649879194087009, 0.041937905043152646, 0.4759708779623433, 0.8035144695119342, 0.8945699707554761, 0.05559265446557993], BATTLES: 39-42-43-49-45-44-41-42-46-
0, 6, -78.0, [0.29509002660143535, 0.5836820485416523, 0.5570385354805037, 0.6515523881043704, 0.41298467210612666, 0.6999438611693364, 0.8849311580306406, 0.9496708216900928, 0.3869980640037066, 0.14085525871408888, 0.23722568920509768, 0.9565150048863937, 0.03132136190837165, 0.8767825598071158, 0.10456445539390913, 0.013099823283279077, 0.47566531851446836, 0.5237458883911985, 0.865925367906866, 0.20875148981728586, 0.5635031935782583], BATTLES: 7-0-2-12-13-17-10-6-11-
0, 7, -365.0, [0.5795708926724741, 0.3061885463846772, 0.8244922312395093, 0.3524936869236043, 0.9611399485219496, 0.7951659322279376, 0.7401618512814588, 0.8173602694181417, 0.9040262968818752, 0.9147656404208103, 0.47769581283003204, 0.266386350838942, 0.7309858372170674, 0.639584059062866, 0.011204758646689794, 0.2720048242740365, 0.7333182093323077, 0.8179927133814686, 0.4493444563227661, 0.2310060155016801, 0.32356734027176204], BATTLES: 41-37-46-48-44-43-37-31-38-
1, 0, -678.0, [0.1302994748445211, 0.7898457492528281, 0.5766153856851093, 0.8237568166518839, 0.18313965257812836, 0.24088591266829906, 0.7716151678587642, 0.33373830573567165, 0.24659146762759554, 0.8681972326517897, 0.9842684995929347, 0.2125816335772175, 0.9024246733859486, 0.7131460967369794, 0.2901960321281375, 0.045395884470746384, 0.07967094692985066, 0.8327592291304762, 0.5148808820616767, 0.7573261745488864, 0.8281063131277778], BATTLES: 85-57-67-81-70-76-84-81-77-
1, 1, -183.0, [0.431153428358764, 0.13360830098945686, 0.3987505789156594, 0.9860547867302573, 0.20887229408304286, 0.4987919981083303, 0.4803096283791405, 0.558164871354549, 0.21521335559033072, 0.5163337468587603, 0.8154465611362824, 0.35014832834871545, 0.2956746621306765, 0.33366485610599367, 0.5287645343458949, 0.11416359040170398, 0.39626748196186906, 0.8517314047667213, 0.412574388406016, 0.6951779724896462, 0.7070274308324322], BATTLES: 13-7-18-21-9-13-15-5-7-
