0, 15, -96.0, -1943.0, -1258.0, -1260.0, 574.2609163089544, 0.0
1, 15, -486.0, -4243.0, -2740.0, -2818.733333333333, 1113.5876835206507, 756.2685651779175
2, 15, -791.0, -4139.0, -3096.0, -2824.4, 875.7169862461274, 1507.2088859081268
3, 15, -710.0, -3974.0, -3029.0, -2819.9333333333334, 826.1197222894243, 2253.476551294327
4, 15, -541.0, -3641.0, -3004.0, -2867.866666666667, 701.0652719651399, 2980.466018676758
5, 15, -547.0, -3436.0, -2990.0, -2785.6, 670.4950211100253, 3711.8986508846283
6, 15, -1560.0, -3206.0, -2788.0, -2735.6666666666665, 412.1596238783653, 4450.135044336319
7, 15, -1697.0, -3132.0, -2754.0, -2694.0, 394.4207567222259, 5193.905934333801
8, 15, -1958.0, -3041.0, -2796.0, -2703.133333333333, 307.7719646462657, 5924.868446588516
9, 15, -2469.0, -2838.0, -2751.0, -2712.6, 113.79502039486027, 6663.33526968956
10, 15, -2411.0, -2783.0, -2644.0, -2643.5333333333333, 96.02490417710513, 7404.841262102127
11, 15, -2363.0, -2793.0, -2714.0, -2666.3333333333335, 120.276717983527, 8144.022889852524
12, 15, -2334.0, -2780.0, -2671.0, -2649.6, 106.35838785289415, 8880.997499227524
13, 15, -2463.0, -2720.0, -2652.0, -2644.133333333333, 63.67717190816676, 9633.539218187332
14, 15, -2483.0, -2759.0, -2672.0, -2651.6666666666665, 79.55431408094026, 10383.317873954773
15, 15, -2484.0, -2751.0, -2653.0, -2646.2, 81.0038682203922, 11147.19359922409
16, 15, -2516.0, -2748.0, -2677.0, -2649.3333333333335, 69.5218590724449, 11883.06865477562
17, 15, -2486.0, -2734.0, -2654.0, -2647.6666666666665, 68.91121502016603, 12627.029547691345
18, 15, -2504.0, -2758.0, -2645.0, -2639.9333333333334, 66.84157056469839, 13379.665174007416
19, 15, -2566.0, -2742.0, -2625.0, -2640.2, 54.375484672169435, 14128.054770946503
20, 15, -2530.0, -2729.0, -2651.0, -2631.8, 59.13848154966443, 14860.654461860657
21, 15, -2502.0, -2745.0, -2670.0, -2643.266666666667, 65.86801618050718, 15607.040231227875
22, 15, -2515.0, -2733.0, -2648.0, -2644.4666666666667, 55.157793848396636, 16333.22587442398
23, 15, -2584.0, -2749.0, -2657.0, -2662.2, 50.51362852405939, 17081.14068055153
24, 15, -2569.0, -2711.0, -2651.0, -2647.9333333333334, 36.898900917085435, 17831.651639461517
25, 15, -2522.0, -2725.0, -2634.0, -2634.9333333333334, 49.85507886754256, 18557.41254210472
26, 15, -2540.0, -2695.0, -2655.0, -2645.8, 41.26208913760912, 19283.63907122612
27, 15, -2590.0, -2709.0, -2643.0, -2643.9333333333334, 33.124948637276745, 20034.77794122696
28, 15, -2571.0, -2744.0, -2635.0, -2633.733333333333, 45.02512878629246, 20785.003294229507
29, 15, -2516.0, -2746.0, -2632.0, -2638.4666666666667, 57.092751047941476, 21527.57642006874
30, 15, -2557.0, -2690.0, -2634.0, -2636.3333333333335, 35.915951268977345, 22278.53981232643
31, 15, -2551.0, -2687.0, -2658.0, -2636.2, 48.3186644407038, 23017.031269311905
32, 15, -2518.0, -2709.0, -2636.0, -2638.0, 46.29182793251238, 23764.555201530457
33, 15, -2604.0, -2697.0, -2638.0, -2639.0, 22.150996967781534, 24538.992376089096
34, 15, -2529.0, -2703.0, -2643.0, -2631.4666666666667, 50.35588898585304, 25274.176978349686
35, 15, -2537.0, -2738.0, -2634.0, -2634.6, 58.91553275665086, 26017.310551404953
36, 15, -2564.0, -2744.0, -2618.0, -2630.133333333333, 45.45601048144117, 26767.36576962471
37, 15, -2512.0, -2730.0, -2617.0, -2636.5333333333333, 61.318693905058204, 27505.24392390251
38, 15, -2506.0, -2696.0, -2629.0, -2628.133333333333, 42.251416807276684, 28261.385636806488
39, 15, -2541.0, -2787.0, -2652.0, -2647.5333333333333, 62.97498621586899, 28998.53920841217
40, 15, -2554.0, -2700.0, -2643.0, -2641.133333333333, 39.85451319765708, 29750.501730918884
41, 15, -2543.0, -2683.0, -2635.0, -2634.266666666667, 34.196426064072185, 30493.113746881485
42, 15, -2574.0, -2697.0, -2617.0, -2629.9333333333334, 37.517047976738375, 31225.750645160675
43, 15, -2589.0, -2716.0, -2651.0, -2651.4666666666667, 37.40564425621115, 31962.21408867836
