generation, mean_f, mean_cr
0, 0.5000, 0.5000
1, 0.5521, 0.5754
2, 0.5561, 0.5430
3, 0.5708, 0.5332
4, 0.5530, 0.5297
5, 0.5486, 0.5231
6, 0.5390, 0.5203
7, 0.5327, 0.5295
8, 0.5295, 0.5299
9, 0.5318, 0.5272
10, 0.5255, 0.5219
11, 0.5218, 0.5215
12, 0.5312, 0.5219
13, 0.5350, 0.5203
14, 0.5367, 0.5287
15, 0.5441, 0.5316
16, 0.5425, 0.5317
17, 0.5411, 0.5383
18, 0.5438, 0.5347
19, 0.5519, 0.5339
20, 0.5543, 0.5325
21, 0.5581, 0.5368
22, 0.5640, 0.5325
23, 0.5703, 0.5324
24, 0.5711, 0.5323
25, 0.5818, 0.5402
26, 0.5864, 0.5421
27, 0.5877, 0.5392
28, 0.5876, 0.5423
29, 0.5909, 0.5355
30, 0.5872, 0.5282
31, 0.5928, 0.5231
32, 0.5999, 0.5145
33, 0.5989, 0.5181
34, 0.5960, 0.5143
35, 0.6004, 0.5141
36, 0.6021, 0.5164
37, 0.6104, 0.5148
38, 0.6171, 0.5131
39, 0.6166, 0.5096
40, 0.6214, 0.5109
41, 0.6261, 0.5111
42, 0.6188, 0.5119
43, 0.6202, 0.5025
