label,final_best_mean,final_best_std,final_best_pct_of_max_mean,final_best_pct_of_max_std,gen95_mean,gen95_std,runs
SHADE HoF-15,2728.0,12.727922061357855,52.26053639846744,0.24382992454708804,2.5,2.1213203435596424,2
SHADE HoF-10,1787.0,14.142135623730951,52.25146198830409,0.4135127375359919,12.0,14.142135623730951,2
SHADE HoF-5,843.5,2.1213203435596424,52.0679012345679,0.13094570021973476,5.5,4.949747468305833,2
SHADE koewol.-15,2708.5,10.606601717798213,51.88697318007663,0.20319160378924045,1.0,0.0,2
SHADE koewol.-5,840.5,10.606601717798213,51.88271604938272,0.6547285010986612,1.0,0.0,2
SHADE koewol.-10,1767.5,14.849242404917497,51.6812865497076,0.4341883744127946,1.0,0.0,2
