# generation | ind | opp0 opp1 ... oppN
generation 0
  ind 4: opp0=37  opp1=30  opp2=19  opp3=23  opp4=27  opp5=21  opp6=19  opp7=20  opp8=19  opp9=33  opp10=19  opp11=24  opp12=17  opp13=22  opp14=19
  ind 5: opp0=55  opp1=24  opp2=38  opp3=45  opp4=42  opp5=33  opp6=38  opp7=30  opp8=36  opp9=51  opp10=39  opp11=36  opp12=37  opp13=36  opp14=26
  ind 6: opp0=43  opp1=13  opp2=20  opp3=21  opp4=28  opp5=17  opp6=17  opp7=14  opp8=18  opp9=27  opp10=24  opp11=18  opp12=10  opp13=13  opp14=20
  ind 7: opp0=56  opp1=33  opp2=35  opp3=32  opp4=49  opp5=30  opp6=35  opp7=31  opp8=28  opp9=39  opp10=32  opp11=32  opp12=26  opp13=31  opp14=41

generation 4
  ind 0: opp0=36  opp1=8  opp2=11  opp3=13  opp4=14  opp5=15  opp6=8  opp7=4  opp8=13  opp9=25  opp10=16  opp11=14  opp12=6  opp13=13  opp14=11
  ind 1: opp0=58  opp1=35  opp2=33  opp3=34  opp4=43  opp5=36  opp6=25  opp7=30  opp8=30  opp9=43  opp10=35  opp11=32  opp12=34  opp13=36  opp14=32
  ind 2: opp0=52  opp1=28  opp2=33  opp3=30  opp4=34  opp5=26  opp6=19  opp7=25  opp8=20  opp9=40  opp10=26  opp11=20  opp12=25  opp13=27  opp14=29
  ind 3: opp0=52  opp1=25  opp2=34  opp3=34  opp4=38  opp5=32  opp6=30  opp7=31  opp8=23  opp9=49  opp10=25  opp11=29  opp12=32  opp13=27  opp14=32
  ind 4: opp0=35  opp1=17  opp2=15  opp3=19  opp4=20  opp5=15  opp6=13  opp7=14  opp8=10  opp9=25  opp10=23  opp11=11  opp12=7  opp13=18  opp14=26
  ind 5: opp0=61  opp1=25  opp2=33  opp3=39  opp4=37  opp5=40  opp6=27  opp7=28  opp8=26  opp9=47  opp10=33  opp11=30  opp12=38  opp13=35  opp14=33
  ind 6: opp0=49  opp1=25  opp2=24  opp3=31  opp4=40  opp5=33  opp6=19  opp7=30  opp8=33  opp9=47  opp10=29  opp11=26  opp12=28  opp13=29  opp14=30
  ind 7: opp0=57  opp1=33  opp2=36  opp3=39  opp4=41  opp5=33  opp6=38  opp7=28  opp8=31  opp9=48  opp10=31  opp11=35  opp12=40  opp13=36  opp14=39

generation 5
  ind 0: opp0=18  opp1=11  opp2=8  opp3=13  opp4=17  opp5=13  opp6=13  opp7=10  opp8=14  opp9=21  opp10=10  opp11=8  opp12=15  opp13=12  opp14=12
  ind 1: opp0=40  opp1=31  opp2=45  opp3=33  opp4=42  opp5=42  opp6=35  opp7=40  opp8=40  opp9=51  opp10=32  opp11=32  opp12=34  opp13=34  opp14=28
  ind 2: opp0=33  opp1=21  opp2=28  opp3=30  opp4=42  opp5=36  opp6=24  opp7=34  opp8=29  opp9=37  opp10=26  opp11=22  opp12=26  opp13=27  opp14=27
  ind 3: opp0=36  opp1=38  opp2=33  opp3=33  opp4=43  opp5=38  opp6=36  opp7=27  opp8=35  opp9=50  opp10=34  opp11=31  opp12=40  opp13=35  opp14=31
  ind 4: opp0=25  opp1=19  opp2=24  opp3=27  opp4=24  opp5=19  opp6=16  opp7=22  opp8=25  opp9=28  opp10=23  opp11=17  opp12=14  opp13=18  opp14=20
  ind 5: opp0=32  opp1=33  opp2=36  opp3=34  opp4=45  opp5=35  opp6=26  opp7=35  opp8=36  opp9=45  opp10=38  opp11=35  opp12=28  opp13=37  opp14=33
