0, 0, -1.0, [0.9108040869948192, 0.7236454214447908, 0.47096731630877675, 0.0680974418817839, 0.40605941969580006, 0.5017952645237289, 0.8388415174641686, 0.9707787194834391, 0.12506556968721538, 0.6864008796931782, 0.8134334901337614, 0.1381313843286307, 0.4533183093097367, 0.26529725305088736, 0.28555173732254424, 0.15244552049235516, 0.3041197676686418, 0.06021753002948649, 0.19945145487685267, 0.15626976444421592, 0.6170084864416994], TOTAL_WINS: 1, WINS_PER_OPP: 0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0, 1, -478.0, [0.6547748663416889, 0.8246279729442613, 0.28889433285842225, 0.05359550451728157, 0.9012117286802596, 0.9563977878976929, 0.2088438879617318, 0.127838457234542, 0.9358721113139159, 0.23413619451811707, 0.19048285439348467, 0.13170400124007942, 0.2525653920458112, 0.35465209885957516, 0.19022059278698034, 0.34138561133003276, 0.9608056983146412, 0.903142954590255, 0.0898917193692339, 0.28166359538489205, 0.9059580487843664], TOTAL_WINS: 478, WINS_PER_OPP: 54,20,32,27,42,27,30,26,31,45,31,31,28,26,28
0, 2, -187.0, [0.9869876966727906, 0.005430375812559007, 0.5867468187420634, 0.16763439332122743, 0.7027224439906231, 0.37953294445708863, 0.0689981613893561, 0.41385870511460066, 0.7286235461020545, 0.5108725163402068, 0.7423931388018333, 0.249042943734199, 0.38833520504163355, 0.5946517838799951, 0.9104588219469685, 0.4881204703134644, 0.11609879576865634, 0.25518650796009246, 0.36691872600720077, 0.6184131906872077, 0.08336600272039651], TOTAL_WINS: 187, WINS_PER_OPP: 31,9,10,8,20,14,7,13,11,14,15,8,9,11,7
0, 3, -75.0, [0.9354358552433725, 0.7117911074535268, 0.13970507733876325, 0.1646187768732542, 0.9374973267399236, 0.612650876032485, 0.33926982888110646, 0.908352132655433, 0.07329249836199014, 0.16876831092133426, 0.3534504206821555, 0.6589498894456318, 0.16062950984262503, 0.2007653398162541, 0.025795858509345848, 0.8766767527166783, 0.08911717374647898, 0.3599722835911665, 0.5729206089109622, 0.30352184054164677, 0.34644066100111137], TOTAL_WINS: 75, WINS_PER_OPP: 16,4,4,3,6,5,3,5,8,5,4,1,4,5,2
0, 4, -130.0, [0.31855897085402074, 0.011775661567974605, 0.9992890128557351, 0.4349065093562884, 0.3842572231912861, 0.6056773454980562, 0.8177448789727525, 0.20704145169194565, 0.08392742868044223, 0.2083395517868848, 0.011694568030285901, 0.7363961788959074, 0.7612571888016657, 0.6323213155941328, 0.2030242005477494, 0.6662080513409453, 0.05881953346060709, 0.7357083818436956, 0.058625920660591135, 0.4431799230612349, 0.7371077108044137], TOTAL_WINS: 130, WINS_PER_OPP: 23,5,7,8,10,6,6,9,10,13,3,7,9,9,5
0, 5, -208.0, [0.5601483936151261, 0.49280875956729353, 0.5636344855807504, 0.4048447954533311, 0.5476768939619272, 0.2675267862657562, 0.13503344595425104, 0.33514623395407084, 0.12333328845293179, 0.825730581043621, 0.09533522120301485, 0.3746525684771518, 0.7476516950685277, 0.00591947927923453, 0.5898443609207037, 0.9530179594475362, 0.49063160530734884, 0.16692353291253725, 0.5667902836509301, 0.30568265437886977, 0.21692697820512563], TOTAL_WINS: 208, WINS_PER_OPP: 24,10,14,12,20,11,12,11,13,18,13,14,12,9,15
0, 6, -306.0, [0.4884968998010849, 0.7215896382249529, 0.4077422937318239, 0.40676933873351684, 0.9390015764339108, 0.5934722953394207, 0.7499684326015708, 0.4108633481028253, 0.20579913483886603, 0.8095127592592263, 0.27917694213482647, 0.5032346902423244, 0.5140047042851709, 0.4667082349576177, 0.22755989695661372, 0.22646515746397167, 0.3263580215676133, 0.14318359731037555, 0.16636010210287488, 0.2597631419921459, 0.35709264967586063], TOTAL_WINS: 306, WINS_PER_OPP: 40,13,23,20,28,23,18,15,15,26,16,20,20,17,12
0, 7, -474.0, [0.22257810406969947, 0.4808681794640485, 0.09535874578923054, 0.8475832024959442, 0.7497401131525516, 0.68995418935813, 0.3454511503450759, 0.672823128205431, 0.0961931444600157, 0.8239867069753843, 0.9774843601175303, 0.11661769671985889, 0.5210283968187441, 0.7007279784867951, 0.22179696319181186, 0.039031923228305176, 0.6977992577926878, 0.7090066941907494, 0.8264783335202629, 0.8308186161440826, 0.11304359214154192], TOTAL_WINS: 474, WINS_PER_OPP: 58,24,29,33,42,37,26,30,18,31,26,25,32,30,33
1, 0, -1.0, [0.9108040869948192, 0.7236454214447908, 0.47515231691323623, 0.03404872094089195, 0.40605941969580006, 0.7650494567119955, 0.5589538023685072, 0.9707787194834391, 0.12506556968721538, 0.30592425526898426, 0.2986594684106116, 0.14129275958249987, 0.2820074114855062, 0.17156831349805887, 0.28555173732254424, 0.15244552049235516, 0.3041197676686418, 0.4388491152033973, 0.09972572743842634, 0.15626976444421592, 0.6170084864416994], TOTAL_WINS: 1, WINS_PER_OPP: 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1, 1, -478.0, [0.6547748663416889, 0.8246279729442613, 0.28889433285842225, 0.05359550451728157, 0.9012117286802596, 0.9563977878976929, 0.2088438879617318, 0.127838457234542, 0.9358721113139159, 0.23413619451811707, 0.19048285439348467, 0.13170400124007942, 0.2525653920458112, 0.35465209885957516, 0.19022059278698034, 0.34138561133003276, 0.9608056983146412, 0.903142954590255, 0.0898917193692339, 0.28166359538489205, 0.9059580487843664], TOTAL_WINS: 478, WINS_PER_OPP: 50,21,32,25,39,31,27,28,22,50,25,25,25,22,25
