# generation, individual_idx, wins_vs_opp0, wins_vs_opp1, ...
generation 0
  ind 4: opp0=0  opp1=0  opp2=0  opp3=0  opp4=0  opp5=0  opp6=0  opp7=0  opp8=0  opp9=0  opp10=0  opp11=0  opp12=0  opp13=0  opp14=0
  ind 5: opp0=8  opp1=2  opp2=5  opp3=3  opp4=7  opp5=2  opp6=1  opp7=0  opp8=1  opp9=7  opp10=4  opp11=2  opp12=2  opp13=5  opp14=7
  ind 6: opp0=41  opp1=26  opp2=23  opp3=34  opp4=34  opp5=22  opp6=27  opp7=21  opp8=30  opp9=43  opp10=26  opp11=25  opp12=27  opp13=38  opp14=28
  ind 7: opp0=2  opp1=1  opp2=0  opp3=1  opp4=2  opp5=0  opp6=0  opp7=0  opp8=0  opp9=0  opp10=0  opp11=0  opp12=3  opp13=1  opp14=2

generation 4
  ind 0: opp0=35  opp1=13  opp2=20  opp3=16  opp4=23  opp5=17  opp6=5  opp7=20  opp8=12  opp9=25  opp10=15  opp11=10  opp12=17  opp13=11  opp14=16
  ind 1: opp0=5  opp1=1  opp2=0  opp3=1  opp4=6  opp5=0  opp6=1  opp7=0  opp8=1  opp9=1  opp10=1  opp11=1  opp12=2  opp13=1  opp14=0
  ind 2: opp0=22  opp1=13  opp2=9  opp3=15  opp4=17  opp5=11  opp6=12  opp7=8  opp8=10  opp9=19  opp10=10  opp11=10  opp12=11  opp13=11  opp14=9
  ind 3: opp0=43  opp1=18  opp2=21  opp3=27  opp4=31  opp5=28  opp6=12  opp7=20  opp8=21  opp9=41  opp10=18  opp11=23  opp12=20  opp13=28  opp14=27
  ind 4: opp0=5  opp1=1  opp2=0  opp3=1  opp4=2  opp5=1  opp6=0  opp7=0  opp8=0  opp9=0  opp10=0  opp11=0  opp12=0  opp13=0  opp14=1
  ind 5: opp0=12  opp1=4  opp2=5  opp3=7  opp4=8  opp5=8  opp6=1  opp7=5  opp8=12  opp9=9  opp10=9  opp11=10  opp12=5  opp13=5  opp14=8
  ind 6: opp0=58  opp1=19  opp2=28  opp3=29  opp4=38  opp5=30  opp6=19  opp7=26  opp8=28  opp9=44  opp10=33  opp11=20  opp12=19  opp13=23  opp14=25
  ind 7: opp0=45  opp1=25  opp2=27  opp3=26  opp4=33  opp5=32  opp6=25  opp7=23  opp8=27  opp9=36  opp10=29  opp11=23  opp12=25  opp13=33  opp14=30

generation 5
  ind 0: opp0=43  opp1=25  opp2=27  opp3=30  opp4=31  opp5=35  opp6=23  opp7=18  opp8=23  opp9=30  opp10=22  opp11=21  opp12=26  opp13=29  opp14=30
  ind 1: opp0=34  opp1=19  opp2=21  opp3=24  opp4=31  opp5=27  opp6=15  opp7=20  opp8=29  opp9=36  opp10=22  opp11=18  opp12=14  opp13=23  opp14=25
  ind 2: opp0=29  opp1=16  opp2=17  opp3=19  opp4=27  opp5=18  opp6=19  opp7=15  opp8=24  opp9=34  opp10=16  opp11=12  opp12=18  opp13=19  opp14=15
