0, 0, -187.0, [0.9168961177916155, 0.35146734153310555, 0.24879526360482584, 0.9244447464929084, 0.19455533012735404, 0.41179335677717266, 0.11916649691794601, 0.07697209862000476, 0.602422655046731, 0.3552690922118791, 0.1844776012543713, 0.22837526236717764, 0.19482658316943047, 0.6980641492860125, 0.791436878973509, 0.604381560072786, 0.5332911594771044, 0.5468456642465581, 0.8029434044696613, 0.35376027258429243, 0.3370058406461546], TOTAL_WINS: 187, WINS_PER_OPP: 27,10,12,11,19,8,7,7,14,19,17,9,12,7,8
0, 1, -0.0, [0.03413843252706794, 0.4237020885460061, 0.190120726898373, 0.4112397989002985, 0.2242205811629977, 0.7079100741993147, 0.1205708564702267, 0.9634846557491507, 0.2570786668704921, 0.8596920623538967, 0.10330211137710565, 0.4229841492447596, 0.5182345258417893, 0.061491405203388805, 0.6644650956496555, 0.7168361137353363, 0.615778157765933, 0.9207976830985761, 0.2709964465345107, 0.32605673401008706, 0.49893344116540184], TOTAL_WINS: 0, WINS_PER_OPP: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0, 2, -3.0, [0.07211170398625577, 0.3649990781037382, 0.7271313039936015, 0.9644724658805189, 0.2795650928247777, 0.8594756967212971, 0.04984799021848796, 0.5780114967149415, 0.1084994193655685, 0.11637359586949736, 0.6034499371359531, 0.35850729003375603, 0.8794839937902961, 0.9056405480195219, 0.06636222549886028, 0.5003447950396744, 0.23471063893688848, 0.9115134040468126, 0.7149377752541275, 0.28714528249925986, 0.936023536584559], TOTAL_WINS: 3, WINS_PER_OPP: 1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0, 3, -188.0, [0.6996412495269643, 0.5024835231133723, 0.5052744851136537, 0.5976437586222365, 0.6324664646584616, 0.16593106016156967, 0.6222947987603964, 0.4002325956780365, 0.1218904969676432, 0.420289025557147, 0.02003347531576294, 0.3227528548105243, 0.5317144669251198, 0.6453692790631875, 0.9278903911855431, 0.23863881314804902, 0.27877856103259613, 0.26831225602130804, 0.9448984985196823, 0.7727386108975217, 0.19304116749521805], TOTAL_WINS: 188, WINS_PER_OPP: 21,5,10,9,16,9,5,14,16,20,16,11,13,10,13
0, 4, -0.0, [0.13052037286373752, 0.18005652252386428, 0.9870030892994736, 0.8374031771383766, 0.03615629296222267, 0.8934467365182708, 0.4546915328139749, 0.4412077215672511, 0.11103751006304652, 0.0875231601038865, 0.9856644669380331, 0.45016538017528285, 0.5873642927797162, 0.04993959250394209, 0.7045196457904095, 0.27318410212782873, 0.15403021171840103, 0.9862203120192561, 0.8368682035292437, 0.10504189248864393, 0.9339029431547506], TOTAL_WINS: 0, WINS_PER_OPP: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0, 5, -122.0, [0.9089321311381722, 0.7812185397433405, 0.9998441780671605, 0.01851280047059911, 0.3457405320119954, 0.02772056564261438, 0.40502851541138696, 0.1229972251051662, 0.10892436752893453, 0.9622878155074397, 0.6149850623271966, 0.3102966692074689, 0.4586134664951217, 0.38889473184017487, 0.2669525679442373, 0.440950646371696, 0.6983559036332954, 0.22176045894519936, 0.02427753332624283, 0.5353429134786799, 0.4111563900266252], TOTAL_WINS: 122, WINS_PER_OPP: 17,5,9,10,4,7,3,8,6,11,7,11,6,9,9
0, 6, -245.0, [0.6924208233882194, 0.09981742906923985, 0.09670148328402972, 0.45149502171338096, 0.27170961428597895, 0.8138862544547188, 0.9127110075575949, 0.29405548996070496, 0.29311251822646367, 0.8880236912380801, 0.5275752725133154, 0.9755909372649342, 0.062396896322271744, 0.22495315537870997, 0.43419555595180837, 0.493305269656685, 0.6276632973068003, 0.8622973906165191, 0.18402295014968295, 0.04174835598629845, 0.1509139894838002], TOTAL_WINS: 245, WINS_PER_OPP: 29,13,11,10,19,16,14,13,17,28,16,13,12,20,14
0, 7, -68.0, [0.030448925964735696, 0.2932157731885404, 0.07765675894938162, 0.7236636748806314, 0.24942060257250276, 0.6686813788403985, 0.45860226419395134, 0.4009036974227811, 0.7475123272560179, 0.345687970500578, 0.5576719833401844, 0.22187701756498168, 0.4441543383367319, 0.41670024638620873, 0.0723862049589592, 0.4318201137715707, 0.005134144743192959, 0.05734170294600216, 0.1451079196500843, 0.1478881839368622, 0.9327533498752635], TOTAL_WINS: 68, WINS_PER_OPP: 10,3,2,4,5,5,3,1,3,8,3,3,7,5,6
1, 0, -219.0, [0.9168961177916155, 0.35146734153310555, 0.24879526360482584, 0.5889256020062581, 0.21665340039237738, 0.41179335677717266, 0.11916649691794601, 0.07697209862000476, 0.602422655046731, 0.3552690922118791, 0.1844776012543713, 0.22837526236717764, 0.19482658316943047, 0.2458290858912422, 0.626338824049453, 0.5199558572107292, 0.5332911594771044, 0.29360754372874287, 0.8029434044696613, 0.35376027258429243, 0.3370058406461546], TOTAL_WINS: 219, WINS_PER_OPP: 28,11,17,18,23,12,9,7,15,22,12,13,11,9,12
1, 1, -1.0, [0.01706921626353397, 0.4237020885460061, 0.39982279306162705, 0.4112397989002985, 0.2242205811629977, 0.7079100741993147, 0.5143629527514715, 0.8717461748566879, 0.2570786668704921, 0.7449771981668041, 0.5627009333804915, 0.4229841492447596, 0.6428951831009102, 0.061491405203388805, 0.14399508009265594, 0.5383777949128707, 0.615778157765933, 0.9207976830985761, 0.2709964465345107, 0.13487423437884194, 0.6356768903083747], TOTAL_WINS: 1, WINS_PER_OPP: 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
