feature,count,min,max,max_abs,mean
DRAGONS_IN_HAND,43040336,-2,2,2,0.0105905074718748
HAND_SIZE,43040336,-5,6,6,0.176134359174148
HERO_ATTACK_REDUCED,43040336,-5,9,9,0.0628789236217858
HERO_HEALTH_REDUCED,43040336,-29,21,29,0.30937504762974
JADE_PROGRESS,43040336,-2,0,2,-0.010073341434881
M_ATTACK,93784073,0,26,26,2.68990142921176
M_HAS_CHARGE,93784073,0,1,1,0.0433796045518305
M_HAS_DEAHTRATTLE,93784073,0,1,1,0.0687199413913277
M_HAS_DIVINE_SHIELD,93784073,0,1,1,0.00563876128519178
M_HAS_INSPIRE,93784073,0,0,0,0
M_HAS_LIFE_STEAL,93784073,0,1,1,0.000875372516610576
M_HAS_STEALTH,93784073,0,1,1,0.00188893480879211
M_HAS_TAUNT,93784073,0,1,1,0.086937800195562
M_HAS_WINDFURY,93784073,0,1,1,0.0109436172600437
M_HEALTH,93784073,1,17,17,2.75912363072566
M_MANA_COST,93784073,0,12,12,2.88866362202034
M_POISONOUS,93784073,0,1,1,0.000146400124891142
M_RARITY,93784073,0,4,4,1.8566408072296
MANA_REDUCED,21520168,-1,10,10,1.57065576811482
MINION_APPEARED,4684064,1.17249795525015,24.2247282710298,24.2247282710298,5.5722544633639
MINION_ATTACK_REDUCED,82519605,-121.948218288638,715.046318684945,715.046318684945,0.389300605831293
MINION_HEALTH_REDUCED,82519605,-63.906433328899,399.687052099794,399.687052099794,1.35864206363088
MINION_KILLED,6580404,1.17249795525015,27.3632548794561,27.3632548794561,4.39239928241186
OVERLOAD_ADDED,43040336,0,2,2,0.0123502520984037
PIRATE_SYNERGY,43040336,-8,14,14,0.0855740066713234
SECRET_REMOVED,43040336,-1,1,1,-0.00020043988504179
SPELL_DAMAGE,43040336,-5,10,10,0.00278615389991379
WEAPON_DURABILITY,43040336,-3,5,5,0.0312158111405078
