feature,count,min,max,max_abs,mean
DRAGONS_IN_HAND,55806,0,1,1,0.0102497939289682
HAND_SIZE,55806,-1,1,1,0.186557001039315
HERO_ATTACK_REDUCED,55806,-3,3,3,0.114808443536537
HERO_HEALTH_REDUCED,55806,-4,8,8,0.32788589040605
JADE_PROGRESS,55806,-2,0,2,-0.0349245600831452
M_ATTACK,188374,0,8,8,2.03434125728604
M_HAS_CHARGE,188374,0,1,1,0.0226198944652659
M_HAS_DEAHTRATTLE,188374,0,1,1,0.0576194166923248
M_HAS_DIVINE_SHIELD,188374,0,1,1,0.0111586524679627
M_HAS_INSPIRE,188374,0,0,0,0
M_HAS_LIFE_STEAL,188374,0,1,1,0.00141739305849003
M_HAS_STEALTH,188374,0,1,1,0.000875917058617431
M_HAS_TAUNT,188374,0,1,1,0.11573784067865
M_HAS_WINDFURY,188374,0,1,1,0.0223438478770956
M_HEALTH,188374,1,12,12,2.73517576735643
M_MANA_COST,188374,0,8,8,2.54039835646108
M_POISONOUS,188374,0,0,0,0
M_RARITY,188374,0,4,4,1.53339101999214
MANA_REDUCED,27903,-1,8,8,1.2940902411927
MINION_APPEARED,11462,1.58291887734964,19.6548148294131,19.6548148294131,4.26815780139071
MINION_ATTACK_REDUCED,164199,-8.37642066623619,12.3764206662362,12.3764206662362,0.0310024849384442
MINION_HEALTH_REDUCED,164199,-32.417842526237,89.659340231329,89.659340231329,0.643192088504597
MINION_KILLED,12713,1.17249795525015,17.9318680462658,17.9318680462658,3.86380569130117
OVERLOAD_ADDED,55806,0,2,2,0.0430957244740709
PIRATE_SYNERGY,55806,-4,4,4,0.0411962871375838
SECRET_REMOVED,55806,0,0,0,0
SPELL_DAMAGE,55806,-1,2,2,-0.0036017632512633
WEAPON_DURABILITY,55806,-3,1,3,0.0595097301365445
